Carat,Colour,Clarity,Lab,Price ($US)
0.3,1,5,GEM,911.4
0.3,2,4,GEM,1057
0.3,4,2,GEM,1057
0.3,4,4,GEM,882
0.31,1,4,GEM,1148.7
0.31,2,4,GEM,1088.5
0.31,3,4,GEM,998.9
0.31,4,3,GEM,998.9
0.31,5,5,GEM,788.2
0.31,6,4,GEM,788.2
0.32,3,4,GEM,1027.6
0.32,4,5,GEM,841.4
0.33,2,5,GEM,928.9
0.33,6,5,GEM,768.6
0.34,2,4,GEM,1185.1
0.34,3,4,GEM,1085.7
0.34,4,4,GEM,987
0.34,4,5,GEM,888.3
0.34,5,4,GEM,921.2
0.34,5,5,GEM,855.4
0.35,2,4,GEM,1216.6
0.35,3,4,GEM,1115.1
0.35,4,4,GEM,1012.9
0.35,5,5,GEM,878.5
0.36,3,4,GEM,1144.5
0.36,5,3,GEM,1039.5
0.37,3,5,GEM,994
0.37,5,4,GEM,994
0.4,3,4,GEM,1337.7
0.4,5,4,GEM,1067.5
0.41,3,4,GEM,1369.2
0.43,5,3,GEM,1222.9
0.45,6,4,GEM,1100.4
0.46,2,3,GEM,2059.4
0.48,4,3,GEM,1772.4
0.5,2,4,GEM,2450.7
0.5,2,4,GEM,2450.7
0.5,3,3,GEM,2450.7
0.5,3,4,GEM,2305.1
0.5,4,4,GEM,2111.2
0.51,3,3,GEM,2496.9
0.51,4,4,GEM,2243.5
0.52,1,5,GEM,2443
0.52,2,4,GEM,2544.5
0.52,3,3,GEM,2544.5
0.52,3,4,GEM,2392.6
0.53,1,4,GEM,2744.7
0.53,3,3,GEM,2590.7
0.53,3,4,GEM,2436
0.53,4,3,GEM,2384.9
0.54,2,4,GEM,2636.9
0.54,3,2,GEM,2846.2
0.55,2,3,GEM,2896.6
0.55,3,4,GEM,2523.5
0.55,4,3,GEM,2470.3
0.56,3,4,GEM,2566.9
0.56,6,3,GEM,2024.4
0.57,4,3,GEM,2555.7
0.59,4,3,GEM,2641.1
0.6,3,4,GEM,3003.7
0.62,2,2,GEM,4091.5
0.63,4,3,GEM,3080.7
0.64,4,2,GEM,3331.3
0.66,5,2,GEM,3010
0.7,3,4,GEM,3857
0.7,4,4,GEM,3585.4
0.7,5,3,GEM,3585.4
0.7,6,5,GEM,2702.7
0.71,3,3,GEM,4116.7
0.71,3,4,GEM,3910.2
0.71,3,5,GEM,3635.1
0.71,5,3,GEM,3635.1
0.72,3,5,GEM,3684.1
0.8,6,3,GEM,3808.7
0.82,6,5,GEM,3463.6
0.84,5,5,GEM,3993.5
0.85,3,5,GEM,4763.5
0.86,5,3,GEM,4817.4
0.89,5,4,GEM,4696.3
0.9,6,3,GEM,4677.4
0.5,2,4,GEM,2450.7
0.5,4,2,GEM,2402.4
